Designator,Mid X,Mid Y,Rotation,Layer
D1_5,59.0,-47.0,90.0,top
D1_4,131.0,-47.0,90.0,top
D1_3,77.0,-47.0,90.0,top
D1_2,113.0,-47.0,90.0,top
D1,95.0,-47.0,90.0,top
D2_5,59.0,-53.0,90.0,top
D2_4,131.0,-53.0,90.0,top
D2_3,95.0,-53.0,90.0,top
D2_2,113.0,-53.0,90.0,top
D2,77.0,-53.0,90.0,top
D3_5,59.0,-59.2125,90.0,top
D3_4,95.0,-59.2125,90.0,top
D3_3,77.0,-59.2125,90.0,top
D3_2,113.0,-59.2125,90.0,top
D3,131.0,-59.2125,90.0,top
D4_5,131.0,-65.0,90.0,top
D4_4,113.0,-65.0,90.0,top
D4_3,95.0,-65.0,90.0,top
D4_2,77.0,-65.0,90.0,top
D4,59.0,-65.0,90.0,top
D5_5,113.0,-83.0,90.0,top
D5_4,59.0,-83.0,90.0,top
D5_3,95.0,-83.0,90.0,top
D5_2,77.0,-83.0,90.0,top
D5,131.0,-83.0,90.0,top
J1_5,72.0,-76.1,180.0,top
J1_4,54.0,-76.1,180.0,top
J1_3,90.0,-76.1,180.0,top
J1_2,108.0,-76.1,180.0,top
J1,126.0,-76.1,180.0,top
R1_5,54.2,-70.575,270.0,top
R1_4,126.2,-70.575,270.0,top
R1_3,72.2,-70.575,270.0,top
R1_2,108.2,-70.575,270.0,top
R1,90.2,-70.575,270.0,top
R2_5,49.4,-73.35,180.0,top
R2_4,121.4,-73.35,180.0,top
R2_3,85.4,-73.35,180.0,top
R2_2,103.4,-73.35,180.0,top
R2,67.4,-73.35,180.0,top
R3_5,89.49,-73.35,0.0,top
R3_4,107.49,-73.35,0.0,top
R3_3,71.49,-73.35,0.0,top
R3_2,53.49,-73.35,0.0,top
R3,125.49,-73.35,0.0,top
R4_5,56.0,-73.35,180.0,top
R4_4,110.0,-73.35,180.0,top
R4_3,92.0,-73.35,180.0,top
R4_2,74.0,-73.35,180.0,top
R4,128.0,-73.35,180.0,top
R5_5,132.5,-78.99,90.0,top
R5_4,114.5,-78.99,90.0,top
R5_3,96.5,-78.99,90.0,top
R5_2,60.5,-78.99,90.0,top
R5,78.5,-78.99,90.0,top
SW1_5,50.0,-47.0,0.0,top
SW1_4,104.0,-47.0,0.0,top
SW1_3,122.0,-47.0,0.0,top
SW1_2,86.0,-47.0,0.0,top
SW1,68.0,-47.0,0.0,top
SW2_5,50.0,-53.0,0.0,top
SW2_4,86.0,-53.0,0.0,top
SW2_3,104.0,-53.0,0.0,top
SW2_2,122.0,-53.0,0.0,top
SW2,68.0,-53.0,0.0,top
SW3_5,58.0,-71.0,0.0,top
SW3_4,76.0,-71.0,0.0,top
SW3_3,94.0,-71.0,0.0,top
SW3_2,130.0,-71.0,0.0,top
SW3,112.0,-71.0,0.0,top
SW4_5,50.0,-71.0,0.0,top
SW4_4,68.0,-71.0,0.0,top
SW4_3,122.0,-71.0,0.0,top
SW4_2,104.0,-71.0,0.0,top
SW4,86.0,-71.0,0.0,top
