Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D11, D16, D21, D6",0603,5,Prog,C2286
"D10, D15, D20, D25, D5",0603,5,Power,C72043
"D12, D17, D2, D22, D7",0603,5,Led1,C72043
"D13, D18, D23, D3, D8",0603,5,Led2,C72043
"D14, D19, D24, D4, D9",0603,5,Led3,C72043
"J1, J2, J3, J4, J5",C11050_FPC-SMD_P0.5-10P_LSXJ-H2.0-10P,5,Frontpanel,C11050
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R3, R4, R5, R6, R7, R8, R9",0402,25,2k2,C25879
"SW1, SW13, SW17, SW5, SW9",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,Prog,C455282
"SW10, SW14, SW18, SW2, SW6",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,Btn1,C455282
"SW11, SW15, SW19, SW3, SW7",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,Res,C455282
"SW12, SW16, SW20, SW4, SW8",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,BL,C455282
